model,variant,imbalance_strategy,seed,threshold,split,hazardous_precision,hazardous_recall,hazardous_f1,hazardous_f2,roc_auc,accuracy,tn,fp,fn,tp
logreg,baseline,default,42,0.0699999999999999,validation,0.15625,0.6,0.2479338842975206,0.3826530612244898,0.7200000000000001,0.7654639175257731,282,81,10,15
logreg,baseline,default,42,0.0699999999999999,test,0.1685393258426966,0.5769230769230769,0.2608695652173913,0.38860103626943,0.7449001274968126,0.7809278350515464,288,74,11,15
logreg,baseline,class_weight_balanced,42,0.55,validation,0.1829268292682926,0.6,0.2803738317757009,0.412087912087912,0.7401652892561984,0.8015463917525774,296,67,10,15
logreg,baseline,class_weight_balanced,42,0.55,test,0.2142857142857142,0.5769230769230769,0.3125,0.4310344827586206,0.7374628134296642,0.8298969072164949,307,55,11,15
logreg,baseline,smote,42,0.55,validation,0.1744186046511628,0.6,0.2702702702702703,0.4032258064516129,0.7392837465564738,0.7912371134020618,292,71,10,15
logreg,baseline,smote,42,0.55,test,0.1973684210526315,0.5769230769230769,0.2941176470588235,0.4166666666666667,0.7507437314067149,0.8144329896907216,301,61,11,15
logreg,baseline,smote_balanced,42,0.55,validation,0.1744186046511628,0.6,0.2702702702702703,0.4032258064516129,0.7392837465564738,0.7912371134020618,292,71,10,15
logreg,baseline,smote_balanced,42,0.55,test,0.1973684210526315,0.5769230769230769,0.2941176470588235,0.4166666666666667,0.7507437314067149,0.8144329896907216,301,61,11,15
random_forest,tuned,default,42,0.0699999999999999,validation,0.1632653061224489,0.64,0.2601626016260163,0.404040404040404,0.768595041322314,0.7654639175257731,281,82,9,16
random_forest,tuned,default,42,0.0699999999999999,test,0.16,0.6153846153846154,0.2539682539682539,0.392156862745098,0.7241818954526137,0.7577319587628866,278,84,10,16
random_forest,tuned,class_weight_balanced,42,0.5,validation,0.275,0.44,0.3384615384615385,0.3928571428571428,0.7322314049586777,0.8891752577319587,334,29,14,11
random_forest,tuned,class_weight_balanced,42,0.5,test,0.3548387096774194,0.4230769230769231,0.3859649122807017,0.4074074074074074,0.7626434339141521,0.9097938144329896,342,20,15,11
random_forest,tuned,smote,42,0.21,validation,0.1666666666666666,0.56,0.2568807339449541,0.3804347826086957,0.7245179063360881,0.7912371134020618,293,70,11,14
random_forest,tuned,smote,42,0.21,test,0.1785714285714285,0.5769230769230769,0.2727272727272727,0.3989361702127659,0.7128134296642584,0.7938144329896907,293,69,11,15
random_forest,tuned,smote_balanced,42,0.21,validation,0.1666666666666666,0.56,0.2568807339449541,0.3804347826086957,0.7245179063360881,0.7912371134020618,293,70,11,14
random_forest,tuned,smote_balanced,42,0.21000000000000002,test,0.17857142857142858,0.5769230769230769,0.2727272727272727,0.39893617021276595,0.7128134296642584,0.7938144329896907,293,69,11,15
